h2_co2_ratio,pressure_bar,coolant_temp,catalyst,cooling_ua,T_final_C,T_max_C,co2_conversion,c5plus_yield,runaway
3.946818854504105,32.498891977925254,519.2571379216838,1.3202344153831858,7525.690771139195,358.52249889351447,400.0129615707849,0.9807583447063895,0.9003660512470981,1.0
2.6229970362372574,20.15901936637512,502.393309033651,1.0476498179706426,6601.559080747006,276.6556297470055,297.7763800073046,0.551952403572325,0.49979703083794025,0.0
3.479123789145296,23.694128955783288,509.6530774498928,0.7755750398328689,14923.017881859727,272.58244149697543,321.9792501685099,0.6244980994368677,0.5653864186223013,1.0
3.698274704241819,30.43405787809925,534.3636506640836,1.8323996352254137,60328.857799266465,286.86680011950693,346.9060472332677,0.8197945082160105,0.7502049976465354,1.0
2.7750542067780755,19.001793339758855,501.06117235485567,2.328317988515595,41578.8445486673,239.75884690585917,268.5481962915619,0.4365448831067386,0.39202338343301224,0.0
3.154637123661403,29.772729649571446,507.64871981959107,2.3996138786977665,6410.731775718992,368.16544943574,410.52555626622063,0.9441556803901419,0.8666781423831519,1.0
3.9939351112870263,24.156487335874488,495.31371018636867,1.1975318674893236,33211.93696239041,240.72506545953377,291.178755944929,0.5046349441123071,0.45168331881731444,0.0
3.9183204728060064,18.240505199665304,504.61408312575645,2.4510967576300233,52632.35293184403,238.65423693117583,256.5149389012729,0.5304481804776796,0.47786731289329965,0.0
3.8671486149968466,28.110740384462567,487.7626872996063,0.6579462178889812,68534.10413594733,222.58445088041088,243.40401199904977,0.32168592785881606,0.27360350208598355,0.0
3.3136615153489855,15.119382756760075,477.7756304743002,2.6490977622294887,34581.133180917925,212.83715867220178,219.65745139084316,0.29544750687951465,0.25511318906271535,0.0
3.2563251152019106,33.92852445073521,515.8706651010189,1.4034352425686716,75931.2952361179,267.6881537739464,345.79203107956687,0.663135703510328,0.6041086605438118,1.0
3.401137275926878,23.387897000566376,479.17887028458347,1.2720639298206167,26751.361351727002,227.2446051390546,265.60077870186205,0.370631505724375,0.3256042873783963,0.0
3.8424050948009283,32.851761041087464,519.1755545934068,1.6661000372122725,14685.532501762098,336.59446880172777,396.60512737830504,0.9607552002796995,0.8817134247236367,1.0
2.504639314851128,28.95828557009487,488.18927938628036,2.892940846790945,58357.19016064916,241.2511998644204,327.24868363274265,0.47048653008750124,0.42617146132143535,1.0
3.8247628851189543,34.091908330456164,483.3791264472987,2.3570797761263917,64807.42892529471,237.18385100607958,323.06413192743753,0.5801378370311416,0.5261413137522284,1.0
2.5930974494969443,24.82829854401934,495.16851971946267,1.0099540978146961,59993.40782496197,232.6723011891507,274.09594068766535,0.32994901198237886,0.28906431582455433,0.0
3.839085430574645,19.510702255913365,501.783905408364,2.32573761894411,48362.02011331152,238.4471353393194,261.9696863247452,0.52496630035861,0.4728776812062682,0.0
2.5485492359357194,28.359124653020928,538.66389561702,0.6026451869441399,5499.530757570174,363.03132644348864,390.69005671984496,0.7657701086002348,0.7009899191610561,1.0
2.405001243608271,21.594237979854384,474.55649049926916,2.9404535771559726,66585.29962511946,212.15997781871727,238.9191662255564,0.27166402339174656,0.2376320148927848,0.0
2.317960003217267,27.81396784792483,532.1971512332283,1.1860352889469794,69930.06384580821,276.3725836265088,349.3071603001756,0.5357343872814765,0.486450614700085,1.0
3.952432708045021,22.289528643289668,538.0773385060706,2.3470415973448446,45123.862125962965,278.9792540437526,327.645892606795,0.8032525462305494,0.7344462737425506,1.0
3.4633004230142266,15.200253022221846,475.540896438335,2.575621963214644,58647.57073470622,207.61212378239537,212.68137935948215,0.26834020034023975,0.2280931146702031,0.0
2.5511120157808134,22.221585819959024,533.9743175715369,1.437156610089994,13808.273296726466,299.3366679328375,340.1826701116661,0.6567861817538134,0.59936445334894,1.0
3.485804414143174,19.58997766821098,529.9971717985669,2.7574524734485975,78488.57167170227,263.43390527420956,301.86307620139246,0.6752312989402002,0.6153161066657361,1.0
2.3097231255341173,24.74764236996612,523.9345256050037,1.3359879602907232,28130.94548698388,282.4621331361899,336.6240104762941,0.5569319746485761,0.5064478716307225,1.0
2.4977392245963927,17.531358009871255,535.787950053463,2.9048396189642127,25802.4372070262,274.0570603490564,298.35722389416503,0.5854809754597193,0.5333256823917282,0.0
2.3703791276379853,16.603007064838895,486.1600308739012,0.9956969702315661,70066.37684606743,215.10631678515045,218.9758080480412,0.19732968126086498,0.1583120604868458,0.0
2.114832621463902,25.950971833437837,470.4219563410361,1.3102281717948667,76947.99977481079,205.71772197503822,219.03789162895072,0.18285978923748006,0.14994125870877212,0.0
2.201633536015757,19.362283374371067,492.14925415237366,0.5743105932515802,77731.61106365533,220.46626593767053,225.0811478726559,0.1897054497724315,0.1489718317028505,0.0
2.3538178578264657,34.26259652711438,486.53109952918936,2.6791581115385066,77394.16680316819,239.12433043948795,314.0123844959935,0.44698648571750393,0.4046721986244379,1.0
3.879690639141734,17.44834817481485,476.8637407367339,2.959837263467404,31900.05254631574,216.64532818818606,230.46298267506637,0.3765419137592667,0.33228237644565073,0.0
2.3225880933117016,23.103851172514446,476.6838223504144,1.8114895126921908,69013.62782859762,212.91352691885902,230.38240262666386,0.2410556651844044,0.20680140596779667,0.0
2.7158422627877057,26.724536097178348,498.1450679344953,0.750469796048502,44576.98685228594,240.8716636423219,319.85893491462934,0.3686420690373366,0.324742566812637,1.0
2.535227233113782,19.967039431157474,475.6842041914432,1.6719741762279803,55247.95150319546,210.64558551390564,220.93520687592763,0.2277409562340476,0.1916740214511447,0.0
2.9472512617999977,33.329943494586566,535.5000612563729,0.7222844381251525,74746.5156873393,284.59505191303924,376.3617469650285,0.6471091893894922,0.5886717247488583,1.0
